ID,Question,Section,Example,Information,Resources
1,What is the primary purpose of your AI system?,System Information,e.g. Chatbot for customer support ,,
2,Is the AI system intended to be used as a safety component of a product or is the AI system itself a product covered by the Union harmonisation legislation listed in Annex I AIA?,System Information,e.g. Yes it is a safety component in an autonomous vehicle.,,
3,Is the AI system itself a product being required to undergo a third-party conformity assessment with a view to the placing on the market or the putting into service of that product?,System Information,e.g. Yes it requires certification before deployment,,
4,Does the area (domain) of your AI system apply to critical infrastructures?,System Information,e.g. Yes it is used in power grid monitoring,,
5,Is the AI system intended to be used as safety component in management and operation of (a) digital critical infrastructure (b) road traffic or (c) supply of water gas heating or electricity?,System Information,e.g. Yes it is used for road traffic management,,
6,In which area (domain) your AI system will be used?,System Information,e.g. Healthcare,,
7,Is your system capable of adapting to new tasks autonomously?,System Information,e.g. No it requires manual fine-tuning for new tasks,,
8,Is the training validation and testing data sets subject to data governance and management practices appropriate for the intended purpose of the high-risk AI system? ,System Information,e.g. Yes data governance policies are in place,,
9,Is your system a General Purpose AI model?,System Information,e.g. Yes the system is a General Purpose AI model,,
10,Are the datasets labeled or annotated? If so who performed the labeling?,System Information,e.g. Yes data was labeled by domain experts,,
11,Were any data-cleaning steps applied before using the datasets?,System Information,Eliminate Duplicate or Irrelevant Data Correct Structural Errors Filter Outliers Address Missing Data Validate and Quality-Check,,
12,Does the dataset contain personally identifiable information ?,System Information,e.g. No all personal data was excluded,,
13,If personal data was used was it anonymized or pseudonymized?,System Information,e.g. Yes all personal data was anonymized,,
14,Were any external audits or reviews conducted on the dataset before use?,System Information,e.g. Yes an independent review was performed,,
15,Were any demographic groups underrepresented or overrepresented in the datasets?,System Information,e.g. Yes but adjustments were made to improve balance,,
16,Who will have to interpret system outputs in order to make decisions?,Generating stakeholders,e.g. Medical professionals will interpret results,,
17,Which demographic groups especially marginalized groups might be at risk of experiencing fairness harms?,Fairness Considerations,Marginalized groups may face exclusion bias or discrimination.,,
18,"Which harms might be experienced by demographic groups especially marginalized groups?
",Fairness Considerations,e.g. Discrimination unequal access to resources inaccurate predictions,,
19,Has an impact assessment been conducted to evaluate the potential discriminatory effects of the AI system?,Fairness Considerations,Yes or No,,
20,Were any data-cleaning steps applied before using the datasets?,System Information,Eliminate Duplicate or Irrelevant Data Correct Structural Errors Filter Outliers Address Missing Data Validate and Quality-Check,Data and Data Governance Requires that datasets used for training validation and testing be relevant representative free of errors and complete.,Annex IV Article 10 point 2
